[2017-06-20 18:27:04.000000]  Accion: admin inicia sesion
[2017-06-20 18:28:59.000000]  Accion: Update proyect 1111
[2017-06-20 18:29:11.000000]  Accion: Update publication 11111
[2017-06-20 18:29:22.000000]  Accion: Update publication 11111
[2017-06-20 18:42:55.000000]  Accion: 12 falla inicia sesion
[2017-06-20 18:43:21.000000]  Accion: 12 falla inicia sesion
[2017-06-20 18:43:31.000000]  Accion: 12 falla inicia sesion
[2017-06-20 18:44:33.000000]  Accion: 12 falla inicia sesion
[2017-06-20 18:44:47.000000]  Accion: 123 falla inicia sesion
[2017-06-20 18:47:29.000000]  Accion: 123 falla inicia sesion
[2017-06-20 18:47:40.000000]  Accion: 12 falla inicia sesion
[2017-06-20 18:50:31.000000]  Accion: 12 falla inicia sesion
[2017-06-20 18:50:55.000000]  Accion: 12 falla inicia sesion
[2017-06-20 18:51:51.000000]  Accion: admin1 falla inicia sesion
[2017-06-20 18:52:20.000000]  Accion: admin1 falla inicia sesion
[2017-06-20 18:52:32.000000]  Accion: 12 falla inicia sesion
[2017-06-20 18:52:33.000000]  Accion: New user 12
[2017-06-20 18:53:41.000000]  Accion: 12 falla inicia sesion
[2017-06-20 18:53:41.000000]  Accion: New user 12
[2017-06-20 18:54:44.000000]  Accion: 12 falla inicia sesion
[2017-06-20 18:54:44.000000]  Accion: New user 12
[2017-06-20 18:59:58.000000]  Accion: asd falla inicia sesion
[2017-06-20 18:59:58.000000]  Accion: New user asd
[2017-06-20 19:00:33.000000]  Accion: asd falla inicia sesion
[2017-06-20 19:00:33.000000]  Accion: New user asd
[2017-06-20 19:32:14.000000]  Accion: admin falla inicia sesion
[2017-06-20 19:32:14.000000]  Accion: Create data base
[2017-06-20 19:32:14.000000]  Accion: New user admin
